header_id;otu_number;silva_taxonomy;;;;;
OTU_4337;OTU_4336;Eukaryota(100);SAR(97.2);Stramenopiles(96.8);Ochrophyta(96.4);Chrysophyceae(94.6);E222(86.8)
OTU_4336;OTU_4335;Eukaryota(99.9);SAR(55.4);Stramenopiles(35.6);MAST-6(26.4);unclassified;unclassified
OTU_4335;OTU_4334;Eukaryota(100);SAR(96.1);Alveolata(94.8);Ciliophora(93.1);Intramacronucleata(93.1);Spirotrichea(67.5)
OTU_4334;OTU_4333;Eukaryota(100);SAR(99.9);Alveolata(99.3);Protalveolata(84.4);Syndiniales(84.4);Syndiniales_Group_II(73.9)
OTU_4333;OTU_4332;Eukaryota(100);SAR(99.9);Alveolata(99);Protalveolata(98.6);Syndiniales(98.6);Amoebophrya(98.3)
OTU_4332;OTU_4331;Eukaryota(100);SAR(96.8);Alveolata(96.8);Protalveolata(55.7);Syndiniales(55.7);Syndiniales_Group_II(27)
OTU_4331;OTU_4330;Eukaryota(100);SAR(84.7);Stramenopiles(83.1);Ochrophyta(81.1);Diatomea(68.6);Bacillariophytina(46.6)
OTU_4330;OTU_4329;Eukaryota(100);SAR(90.4);Alveolata(74.2);Dinoflagellata(68.2);Dinophyceae(51.6);SCM37C58(9)
OTU_4339;OTU_4338;Eukaryota(100);Opisthokonta(96.7);Holozoa(96.6);Metazoa(96.6);Animalia(96.6);Arthropoda(81.9)
OTU_4338;OTU_4337;Eukaryota(100);SAR(92.9);Alveolata(92.6);Dinoflagellata(78);Dinophyceae(70.1);SL163A10(21.4)
OTU_19695;OTU_19694;Eukaryota(100);Archaeplastida(50.5);Chloroplastida(50.2);Chlorophyta(49.9);Chlorophyceae(34.9);Characium(13.9)
OTU_19694;OTU_19693;Eukaryota(100);SAR(50.4);Alveolata(50.1);Dinoflagellata(42.5);Dinophyceae(29.3);Dinophysiales(2)
OTU_19697;OTU_19696;Eukaryota(100);SAR(99.4);Alveolata(99.4);Dinoflagellata(95.6);Dinophyceae(87.6);Dinophysiales(78.6)
OTU_19696;OTU_19695;Eukaryota(99.9);SAR(80.3);Stramenopiles(32);Ochrophyta(28.4);Eustigmatales(23.7);Goniochloris(16.9)
OTU_19691;OTU_19690;Eukaryota(100);Opisthokonta(99.7);Holozoa(99.7);Metazoa(99.7);Animalia(99.7);Mollusca(62.2)
OTU_19690;OTU_19689;Eukaryota(100);SAR(99.6);Alveolata(99.6);M2-18H10(39);unclassified;unclassified
OTU_19693;OTU_19692;Eukaryota(100);Opisthokonta(90.5);Holozoa(90.5);Metazoa(88);Animalia(87.7);Arthropoda(78.7)
OTU_19692;OTU_19691;Eukaryota(100);Cryptophyceae(26.5);Kathablepharidae(26.2);Leucocryptos(26.2);unclassified;unclassified
OTU_19699;OTU_19698;Eukaryota(100);SAR(99.5);Alveolata(99.4);Dinoflagellata(92.5);SCM28C5(52.3);unclassified
OTU_19698;OTU_19697;Eukaryota(100);SAR(100);Stramenopiles(95.2);MAST-4(95.2);MAST-4D(95.2);unclassified
OTU_6627;OTU_6626;Eukaryota(100);SAR(99.4);Stramenopiles(98.8);Ochrophyta(97.9);Diatomea(96.9);Bacillariophytina(84.8)
OTU_52267;OTU_52263;Eukaryota(100);SAR(98.2);Stramenopiles(91.8);Peronosporomycetes(46.7);Olpidiopsis(33.4);unclassified
OTU_6626;OTU_6625;Eukaryota(99.8);SAR(92.5);Stramenopiles(90.1);Ochrophyta(88.6);Diatomea(83.8);Bacillariophytina(83)
OTU_50380;OTU_50376;Eukaryota(100);SAR(77.2);Stramenopiles(68.6);Ochrophyta(65.2);Diatomea(42.9);Bacillariophytina(38.6)
OTU_50709;OTU_50705;Eukaryota(100);SAR(74.4);Stramenopiles(57.4);Ochrophyta(54.9);Chrysophyceae(47.7);CCI40(34.7)
OTU_12319;OTU_12318;Eukaryota(100);SAR(88.4);Alveolata(88.1);Protalveolata(74.3);Syndiniales(74.3);Syndiniales_Group_I(40.7)
OTU_12318;OTU_12317;Eukaryota(100);SAR(90.1);Alveolata(77.5);Protalveolata(45.5);Syndiniales(45.3);Syndiniales_Group_II(38.3)
OTU_19529;OTU_19528;Eukaryota(99.9);SAR(85.3);Alveolata(75.1);Protalveolata(31.6);Syndiniales(31.3);Syndiniales_Group_II(28.2)
OTU_19528;OTU_19527;Eukaryota(100);SAR(50.2);Alveolata(42.8);Dinoflagellata(36.5);SCM28C1(8.7);unclassified
OTU_12311;OTU_12310;Eukaryota(100);SAR(97.9);Stramenopiles(96);Ochrophyta(94.5);Diatomea(81.8);Bacillariophytina(75.4)
OTU_12310;OTU_12309;Eukaryota(100);SAR(98.4);Alveolata(98);OLI11255(78.3);unclassified;unclassified
OTU_12313;OTU_12312;Eukaryota(100);SAR(100);Alveolata(100);Protalveolata(65.9);Syndiniales(65.9);Syndiniales_Group_II(29)
OTU_12312;OTU_12311;Eukaryota(100);SAR(90.8);Alveolata(74.6);Protalveolata(73.1);Syndiniales(73.1);Syndiniales_Group_II(71.8)
OTU_12315;OTU_12314;Eukaryota(100);SAR(94.7);Alveolata(94.3);Protalveolata(86.4);Syndiniales(86.3);Syndiniales_Group_II(85.5)
OTU_19526;OTU_19525;Eukaryota(100);SAR(99.9);Alveolata(99.8);Dinoflagellata(97);Dinophyceae(73.6);SL163A10(17.9)
OTU_12317;OTU_12316;Eukaryota(100);SAR(93.4);Alveolata(86.2);Protalveolata(84.5);Syndiniales(84.5);Syndiniales_Group_I(84.5)
OTU_12316;OTU_12315;Eukaryota(100);SAR(98.2);Stramenopiles(97.8);Ochrophyta(96.6);Diatomea(88.2);Bacillariophytina(76.9)
OTU_38539;OTU_38536;Eukaryota(99.2);Opisthokonta(55.1);Holozoa(54.8);Metazoa(50.5);Animalia(50.5);Arthropoda(45)
OTU_38538;OTU_38535;Eukaryota(100);Opisthokonta(89.9);Nucletmycea(85.3);Fungi(84.6);Dikarya(71.1);Basidiomycota(65.2)
OTU_38531;OTU_38528;Eukaryota(98.8);Opisthokonta(33.4);Holozoa(33.3);Metazoa(32.9);Animalia(32.9);Arthropoda(30.6)
OTU_38530;OTU_38527;Eukaryota(99.9);Archaeplastida(27.7);Chloroplastida(26.4);Chlorophyta(26.3);Trebouxiophyceae(22.1);Muriella(19)
OTU_38533;OTU_38530;Eukaryota(100);SAR(68.9);Stramenopiles(41.3);Ochrophyta(35.5);Pinguiochrysidales(19.4);Polypodochrysis(16.7)
OTU_38532;OTU_38529;Eukaryota(100);SAR(97.1);Alveolata(96);Dinoflagellata(90.7);Dinophyceae(79.1);CCMP1878(21.9)
OTU_38535;OTU_38532;Eukaryota(100);SAR(90.9);Stramenopiles(58.9);Ochrophyta(52);Diatomea(38.1);Bacillariophytina(31.8)
OTU_38534;OTU_38531;Eukaryota(99.9);Opisthokonta(98.5);Holozoa(98.5);Metazoa(98.5);Animalia(98.5);Nemertea(48)
OTU_38537;OTU_38534;Eukaryota(100);Opisthokonta(83.4);Holozoa(83.4);Metazoa(82.8);Animalia(82.8);Arthropoda(79.8)
OTU_38536;OTU_38533;Eukaryota(100);SAR(97.7);Alveolata(87.3);Protalveolata(87.2);Syndiniales(87.2);Syndiniales_Group_I(86.6)
